Year,Terawatt-hours,Entity
1965,25.5,World
1966,34.4,World
1967,41,World
1968,52.1,World
1969,61.8,World
1970,78.9,World
1971,109.7,World
1972,152.2,World
1973,203.9,World
1974,266.6,World
1975,369.8,World
1976,432.7,World
1977,538.5,World
1978,625.8,World
1979,650.9,World
1980,711.9,World
1981,840.8,World
1982,912.2,World
1983,1033.8,World
1984,1254.6,World
1985,1488.9,World
1986,1594.7,World
1987,1734.7,World
1988,1891.2,World
1989,1945,World
1990,2000.5,World
1991,2096.2,World
1992,2112.1,World
1993,2184.8,World
1994,2225.8,World
1995,2322.4,World
1996,2406.8,World
1997,2390.3,World
1998,2431.4,World
1999,2524.4,World
2000,2580.9,World
2001,2653.8,World
2002,2696.2,World
2003,2641.6,World
2004,2761.6,World
2005,2768.9,World
2006,2803.4,World
2007,2746.2,World
2008,2737.7,World
2009,2699,World
2010,2768.5,World
2011,2652.7,World
2012,2470.8,World
2013,2490.5,World
2014,2541.4,World
2015,2575.6,World
2016,2613.9,World
2017,2637.2,World
2018,2696.6,World
2019,2796.6,World
2020,2700.1,World
