Year,Twh
1985,1488.921637
1986,1594.735734
1987,1734.733117
1988,1891.249267
1989,1945.010586
1990,2000.462024
1991,2096.174705
1992,2112.089141
1993,2184.826061
1994,2225.844324
1995,2322.395978
1996,2406.801052
1997,2390.276558
1998,2431.38043
1999,2524.361484
2000,2497.06455
2001,2566.265288
2002,2594.152087
2003,2568.061695
2004,2668.129387
2005,2677.216965
2006,2714.879356
2007,2660.731864
2008,2650.260495
2009,2612.306835
2010,2681.4769406
2011,2570.88484
2012,2397.980426
2013,2414.360584
2014,2462.989651
2015,2496.12071699999
2016,2528.233981
2017,2543.98982399999
2018,2614.39137399999
2019,2720.67447051699
2020,2616.61244074821
